Tree,Acc_Temp,Nitrogen,a_Vcmax,b_Vcmax,c_Vcmax,a_Vcmax_SE,b_Vcmax_SE,c_Vcmax_SE,r2_Vcmax,a_Jmax,b_Jmax,c_Jmax,a_Jmax_SE,b_Jmax_SE,c_Jmax_SE,r2_Jmax,a_Rd,b_Rd,c_Rd,a_Rd_SE,b_Rd_SE,c_Rd_SE,r2_Rd,Total_mg,N_mg,C_mg,N_Percent,C_Percent,CN,SLA
tree15,6,HN,0.823230451,-0.00844634,0.002909816,0.364648037,0.073821764,0.003194639,0.909285262,2.378727707,0.000203615,0.001397958,0.150040193,0.030375131,0.001314485,0.947371007,-1.020932897,-0.101632553,0.009480573,2.121348627,0.429459868,0.018584889,0.55286732,1.549,0.039,0.728,2.53,46.97,18.66666667,0.246558183
tree16,6,LN,1.085382621,0.173075726,-0.003633555,0.087785087,0.018097686,0.000795908,0.99765018,2.547859255,0.127017578,-0.002249433,0.070504639,0.014535166,0.000639234,0.99780481,-0.798638123,0.029440495,0.003195144,0.65298549,0.13461884,0.005920328,0.902045446,2.43,0.059,1.142,2.44,46.99,19.3559322,0.168992083
tree17,6,HN,1.841258471,0.045938403,0.003844573,0.421800234,0.084901979,0.003643617,0.976892188,2.96206138,0.10105738,-0.00053816,0.234471318,0.047195514,0.002025422,0.983346899,-1.098440545,0.166376814,-0.003940428,1.202952329,0.242980084,0.010561627,0.751577166,2.382,0.063,1.157,2.62,48.59,18.36507937,0.17689767
tree18,6,LN,1.810691741,0.115510482,-0.001470396,0.159616018,0.035614178,0.001743714,0.996059742,2.675453844,0.217777134,-0.006796479,0.183224773,0.04088186,0.002001626,0.994478949,-1.346539915,0.232599071,-0.008581644,1.881494742,0.419806791,0.020554257,0.510285302,2.503,0.051,1.213,2.05,48.47,23.78431373,0.160621184
tree19,6,HN,2.281840768,-0.121097422,0.011060714,0.390761596,0.065528665,0.002504952,0.997257451,2.917607222,0.019578014,0.003682148,0.168858446,0.028316673,0.001082456,0.998891226,-0.725623231,0.027935144,0.001710623,,,,1,1.961,0.049,0.937,2.5,47.77,19.12244898,0.178734037
tree20,6,LN,2.396196843,-0.067737906,0.006355371,0.338936015,0.069909957,0.003074691,0.954071464,3.539283434,-0.046237645,0.004743146,0.414417979,0.085479093,0.003759433,0.898566543,-0.74346315,0.041456386,0.001899454,0.385479639,0.079781184,0.003555443,0.968461897,1.595,0.026,0.743,1.62,46.6,28.57692308,0.156000099
tree21,6,HN,0.994274559,0.201737527,-0.004127061,0.150366081,0.031111617,0.001370459,0.99499872,2.304950108,0.204175948,-0.00519614,0.138822498,0.028723183,0.001265249,0.993629706,-0.194380536,-0.045149944,0.005414308,0.059678406,0.012430869,0.000555669,0.999043618,2.058,0.046,0.993,2.22,48.24,21.58695652,0.160579794
tree22,6,LN,1.421664689,0.141818018,-0.002139227,0.41024992,0.086978046,0.003891995,0.946531678,2.857245911,0.116994966,-0.002022009,0.240797045,0.051051945,0.002284415,0.967986099,-0.316166897,-0.040861104,0.004334746,0.113551942,0.024098296,0.001092975,0.992761994,1.752,0.035,0.861,2,49.13,24.6,0.153339475
tree23,6,HN,1.535752195,0.142842089,-0.002458249,0.058927442,0.01222574,0.000537493,0.998707989,2.79284782,0.152537642,-0.003617503,0.104760873,0.021734851,0.000955553,0.99406816,-0.921214172,0.06366033,0.001619927,0.115968422,0.024081357,0.001072635,0.997696941,2.335,0.051,1.14,2.17,48.82,22.35294118,0.125184721
tree24,6,LN,0.703868702,0.229440289,-0.005335717,0.398674941,0.081846876,0.00358261,0.967677649,2.149480039,0.204506204,-0.005196463,0.264528642,0.054307007,0.002377132,0.977964667,-1.636690098,0.227656424,-0.005751524,0.089325634,0.018504309,0.000822109,0.998857032,2.169,0.044,1.058,2.04,48.76,24.04545455,0.160121002
tree25,6,HN,0.820337725,0.057527995,-0.00012641,0.14592615,0.029801257,0.001298675,0.982457597,2.542201802,0.00167156,0.001398451,0.212052449,0.043305669,0.001887169,0.909905671,2.942086783,-0.576181068,0.023319205,0.525160541,0.107688068,0.00475412,0.969807325,1.259,0.035,0.581,2.77,46.16,16.6,0.233215161
tree26,6,LN,1.463508139,0.111579823,0.001044966,0.416733964,0.082421715,0.003498398,0.977974605,2.805807528,0.131254314,-0.001665246,0.191683012,0.037911099,0.00160914,0.989903987,-2.275344987,0.438223668,-0.014773087,1.414630957,0.279762881,0.012008971,0.835740347,2.696,0.054,1.304,2,48.38,24.14814815,0.146068187
tree27,6,HN,0.966784301,0.220891076,-0.005874167,0.298618567,0.05871336,0.00247867,0.972666684,2.349206207,0.215042831,-0.006331223,0.265448027,0.052191482,0.00220334,0.968651557,-0.196128868,-0.005983527,0.002433071,1.033443647,0.203192152,0.008578053,0.509935319,3.024,0.057,1.47,1.88,48.61,25.78947368,0.154171455
tree28,6,LN,0.665742321,0.087366502,-0.000133701,0.095132385,0.019515461,0.00085707,0.996842076,2.160672964,0.0599456,0.000128668,0.407387019,0.083571387,0.003670247,0.90518984,-2.318422215,0.373120711,-0.01297216,1.622292232,0.332797083,0.014615619,0.587290663,1.348,0.032,0.646,2.37,47.92,20.1875,0.16842234
tree29,10,HN,1.196297573,0.200885236,-0.003728505,0.280255339,0.055501385,0.002355695,0.985920705,2.538795466,0.204286966,-0.005455375,0.188102319,0.037251527,0.0015811,0.987092059,-3.086128803,0.350800469,-0.007387686,0.349332998,0.06922747,0.002972563,0.994946799,1.714,0.04,0.838,2.35,48.88,20.95,0.146978484
tree30,10,LN,0.791131015,0.228613528,-0.004371557,0.079200681,0.015983317,0.000691869,0.999097266,2.21897587,0.209647372,-0.004635554,0.131582667,0.026554411,0.00114946,0.996231014,-1.765525481,0.255055235,-0.006927455,1.828715336,0.369049053,0.015975011,0.556422157,1.546,0.024,0.749,1.53,48.42,31.20833333,0.129339664
tree31,10,HN,1.604557832,0.108942784,-0.000373255,0.145005309,0.030795879,0.001380888,0.993964526,3.089525731,0.07256037,2.82E-06,0.132945337,0.028234611,0.00126604,0.990268904,-0.756286232,0.135132677,-0.002580686,0.630683334,0.13394301,0.006006007,0.843229865,1.894,0.033,0.912,1.73,48.18,27.63636364,0.131604573
tree32,10,LN,0.290314786,0.311579066,-0.011681751,0.378356961,0.077168605,0.003391629,0.958513693,2.106467134,0.201585282,-0.007139761,0.315591746,0.064367191,0.002828996,0.945933054,-0.636148398,-0.04194896,0.005242438,0.122396808,0.024963703,0.001097177,0.996094354,2.725,0.045,1.315,1.67,48.25,29.22222222,0.158602547
tree33,10,HN,1.071748245,0.151485084,-0.001681358,0.185809814,0.036681881,0.001554907,0.993583522,2.479527947,0.144060534,-0.002814774,0.084452884,0.016672374,0.000706725,0.997330573,-0.36437706,-0.328010612,0.021574147,5.497241845,1.085245011,0.046002423,0.345523092,1.308,0.028,0.63,2.17,48.13,22.5,0.147054641
tree34,10,LN,2.137043141,0.002061118,0.003679295,0.504644615,0.105832849,0.004718041,0.911693148,3.510191645,-0.01885652,0.003697053,0.469069243,0.098372068,0.004385438,0.874088482,-0.650365639,0.042057932,0.001252575,0.071545345,0.015030575,0.000678635,0.998301958,1.862,0.032,0.885,1.7,47.51,27.65625,0.148060073
tree35,10,HN,1.096040374,0.087734197,0.000338584,0.289870627,0.05911965,0.002578544,0.978535005,2.734775339,0.052298751,0.000509519,0.216505102,0.044156616,0.001925921,0.973405493,-1.060452936,0.067872511,0.001389744,0.147604309,0.0302858,0.001338581,0.996875442,1.336,0.027,0.636,1.99,47.62,23.55555556,0.151006279
tree36,10,LN,0.911899013,0.15253807,-0.002535438,0.228011228,0.045687897,0.001965721,0.98640509,2.402853616,0.119718053,-0.002136841,0.054468193,0.010914099,0.000469579,0.998605166,-1.484231428,0.142741533,-0.002695786,0.018556176,0.003740026,0.000163056,0.999929183,1.597,0.035,0.762,2.19,47.7,21.77142857,0.162890849
tree37,10,HN,1.049234687,0.185742148,-0.003403539,0.107544915,0.021931168,0.000956364,0.997498811,2.338269811,0.175688481,-0.003649653,0.032821751,0.006693197,0.000291874,0.999684732,-0.765270911,0.09820722,-0.000135929,0.43142617,0.087978867,0.003836539,0.948992657,1.636,0.03,0.788,1.81,48.16,26.26666667,0.133372567
tree38,10,LN,1.083546579,0.18723016,-0.003576881,0.09416317,0.018855228,0.000812635,0.99822064,2.535060611,0.155779907,-0.003075411,0.088202799,0.017661723,0.000761196,0.997629726,-1.563079808,0.264794549,-0.007249464,1.494537271,0.299266054,0.012897962,0.676117698,1.459,0.021,0.699,1.47,47.92,33.28571429,0.138727028
tree39,10,HN,0.664410504,0.078072897,-0.000612422,0.172587346,0.035371608,0.001554999,0.98263558,2.565126852,-0.008920264,0.002300157,0.339675685,0.0696162,0.003060452,0.869884588,-1.068679654,0.145935559,-0.004462586,1.688023642,0.345958797,0.015208965,0.255906277,1.801,0.041,0.863,2.26,47.93,21.04878049,0.194700657
tree40,10,LN,1.036944746,0.17447069,-0.003064908,0.114196064,0.024362425,0.001096679,0.996558113,2.445382194,0.164056213,-0.003494092,0.082808589,0.017666266,0.00079525,0.997314661,-0.101712542,-0.245363802,0.017206742,2.863912893,0.610983081,0.027503512,0.463010476,1.892,0.024,0.896,1.25,47.36,37.33333333,0.123373687
tree41,10,HN,1.068748106,0.183210097,-0.004246431,0.111365831,0.023032084,0.001009283,0.995682372,2.632532189,0.130741554,-0.002698462,0.012179478,0.002518894,0.00011038,0.999917468,-0.724142623,0.058383802,0.000485189,0.21405562,0.044227035,0.001961953,0.984470072,1.638,0.028,0.803,1.71,49.01,28.67857143,0.151664868
tree42,10,LN,0.814397572,0.209257166,-0.004297214,0.173666323,0.035414014,0.001544629,0.99428959,2.350614505,0.168012886,-0.003827251,0.116956249,0.023849703,0.001040237,0.995149604,-0.721092775,0.109870018,-0.002227359,0.637128241,0.13076274,0.005782157,0.863735025,1.404,0.018,0.683,1.26,48.66,37.94444444,0.123163793
